DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
12X682,Fannie Lou Hamer Freedom High School,411,Excellent,0.82,0.93,,0.2,0.883,0.782,0.94
12X684,Wings Academy,231,Fair,,0.81,,0.216,0.926,0.801,
13K265,Dr. Susan S. McKinney Secondary School of the Arts,128,Fair,0.8,0.83,0.924,0.172,0.852,0.78,0.81
13K350,Urban Assembly School of Music and Art,139,Good,0.96,0.94,0.84,0.223,0.734,0.791,0.92
13K412,Brooklyn Community Arts & Media High School (BCAM),356,Good,0.79,0.93,0.884,0.171,0.826,0.84,0.88
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",447,Excellent,0.73,0.83,0.822,0.181,0.729,0.927,0.77
13K430,Brooklyn Technical High School,5848,Excellent,0.84,0.7,0.514,0.032,0.439,0.938,0.89
13K439,Brooklyn International High School,308,Good,0.91,0.84,,0.386,0.695,0.862,0.9
13K483,The Urban Assembly School for Law and Justice,410,Good,0.92,0.85,0.816,0.122,0.754,0.822,0.89
13K527,Urban Assembly Institute of Math and Science for Young Women,250,Good,0.91,0.9,0.862,0.1,0.812,0.859,0.86
13K594,Gotham Professional Arts Academy,223,Good,,0.87,0.857,0.166,0.789,0.792,
13K595,Bedford Academy High School,338,Excellent,0.75,0.85,0.696,0.044,0.598,0.91,0.89
13K605,George Westinghouse Career and Technical Education High School,558,Fair,0.7,0.85,0.824,0.156,0.742,0.876,0.82
13K670,Benjamin Banneker Academy,852,Good,0.83,0.81,0.772,0.093,0.694,0.856,0.85
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",442,Fair,0.61,0.85,0.753,0.086,0.674,0.869,0.87
13K963,Design Works High School,162,,0.81,0.91,0.609,0.117,0.525,0.916,0.72
14K071,Juan Morel Campos Secondary School,344,Fair,0.9,0.91,,0.25,0.846,0.833,0.9
14K449,"Brooklyn Latin School, The",773,Excellent,0.94,0.76,0.52,0.025,0.44,0.932,0.85
14K454,The Williamsburg High School of Art and Technology,425,Good,0.73,0.83,0.839,0.174,0.746,0.835,0.89
14K474,PROGRESS High School for Professional Careers,422,Fair,0.8,0.96,0.929,0.268,0.763,0.878,0.88
14K477,East Williamsburg Scholars Academy,489,Fair,0.79,0.82,0.949,0.344,0.71,0.861,0.84
14K478,"The High School for Enterprise, Business and Technology",527,Fair,0.67,0.77,0.918,0.228,0.784,0.859,0.83
14K488,Brooklyn Preparatory High School,590,Fair,0.79,0.86,0.854,0.137,0.776,0.914,0.91
14K558,Williamsburg High School for Architecture and Design,624,Excellent,0.93,0.81,0.83,0.138,0.761,0.908,0.93
14K561,Williamsburg Preparatory School,668,Good,0.8,0.84,0.851,0.138,0.774,0.849,0.83
14K586,Lyons Community School,266,Fair,0.87,0.9,0.933,0.173,0.857,0.792,0.88
14K610,A-Tech High School,440,Good,0.88,0.95,0.862,0.134,0.809,0.926,0.89
14K614,Young Women's Leadership School of Brooklyn,165,Good,0.96,0.7,0.926,0.212,0.867,0.801,0.91
14K685,El Puente Academy for Peace and Justice,182,Fair,0.83,0.91,0.95,0.198,0.83,0.74,0.9
15K429,Digital Arts and Cinema Technology High School,295,Excellent,0.91,0.85,0.729,0.095,0.654,0.899,0.87
15K448,Brooklyn Collaborative Studies,374,Good,,0.89,0.772,0.11,0.698,0.831,
15K462,John Jay School for Law,451,Fair,0.51,0.82,0.866,0.166,0.803,0.867,0.82
15K463,Cyberarts Studio Academy,267,Good,0.89,0.85,0.909,0.199,0.779,0.824,0.87
15K464,Park Slope Collegiate,358,Good,0.87,,0.793,0.131,0.715,0.888,0.75
15K497,The Boerum Hill School for International Studies,345,Fair,0.84,0.81,0.633,0.09,0.559,0.872,0.82
15K519,Cobble Hill School of American Studies,322,Good,0.67,0.94,0.919,0.27,0.714,0.815,0.87
15K592,Khalil Gibran International Academy,109,Fair,0.92,0.8,0.936,0.193,0.853,0.843,0.84
15K656,Brooklyn High School of the Arts,889,Good,0.92,0.88,0.643,0.063,0.562,0.896,0.88
15K667,Sunset Park High School,1349,Good,0.7,0.77,0.917,0.177,0.794,0.841,0.86
15K684,Millennium Brooklyn HS,686,Excellent,0.95,0.86,0.57,0.038,0.499,0.918,0.88
16K455,Boys and Girls High School,352,Needs Improvement,0.65,,0.928,0.241,0.852,0.803,0.84
16K498,Brooklyn High School for Law and Technology,469,Fair,0.45,0.76,0.886,0.166,0.817,0.827,0.73
16K688,The Brooklyn Academy of Global Finance,226,Fair,0.82,0.84,,0.261,0.814,0.79,0.86
16K765,Nelson Mandela High School,136,Fair,0.56,0.95,0.888,0.25,0.772,0.848,0.78
17K122,Pathways in Technology Early College High School (P-Tech),530,Fair,0.72,0.81,0.777,0.094,0.706,0.884,0.83
17K382,Academy for College Preparation and Career Exploration: A College Board School,303,Good,0.86,1.0,0.866,0.251,0.759,0.952,0.9
17K408,Academy of Hospitality and Tourism,407,Good,0.95,0.82,0.888,0.192,0.789,0.802,0.91
17K524,International High School at Prospect Heights,338,Good,0.94,0.91,,0.376,0.692,0.848,0.89
17K528,The High School for Global Citizenship,214,Fair,0.95,0.95,0.876,0.178,0.78,0.801,0.89
17K537,High School for Youth and Community Development at Erasmus,513,Good,0.86,0.85,0.858,0.172,0.768,0.931,0.9
17K539,High School for Service & Learning at Erasmus,246,Good,0.86,0.83,0.902,0.268,0.752,0.835,0.87
